id;fecha;valor;fecha_pago
1;2020-03-25T20:45:51;66735;2020-03-25T01:23:18
2;2020-03-25T02:41:44;25896;2020-03-25T14:47:40
3;2020-03-25T08:26:03;17222;2020-03-25T11:39:52
4;2020-03-25T08:11:11;97186;2020-03-25T12:42:06
5;2020-03-25T02:54:49;26606;2020-03-25T10:24:47
6;2020-03-25T13:18:05;87056;2020-03-25T13:22:22
7;2020-03-25T13:01:01;23235;2020-03-25T02:36:21
8;2020-03-25T17:45:06;11237;2020-03-25T08:20:21
9;2020-03-25T05:22:46;67822;2020-03-25T02:32:44
10;2020-03-25T18:00:17;99908;2020-03-24T22:49:05
